,0
0,Pomengranate_Ripe
1,Orange_Raw
2,Pomengranate_Ripe
3,Leeche_Raw
4,Guava_Ripe
5,Banana_Ripe
6,Pomengranate_Ripe
7,Apple_Ripe
8,Coconut_Raw
9,Coconut_Raw
10,Strawberry_Raw
11,Guava_Ripe
12,Papaya_Ripe
13,Papaya_Ripe
14,Guava_Ripe
15,Leeche_Raw
16,Orange_Raw
17,Papaya_Ripe
18,Apple_Ripe
19,Pomengranate_Raw
20,Papaya_Ripe
21,Banana_Ripe
22,Mango_Ripe
23,Mango_Raw
24,Banana_Raw
25,Mango_Ripe
26,Apple_Raw
27,Apple_Raw
28,Coconut_Ripe
29,Strawberry_Ripe
30,Mango_Ripe
31,Apple_Ripe
32,Strawberry_Raw
33,Banana_Raw
34,Leeche_Raw
35,Apple_Raw
36,Leeche_Raw
37,Orange_Raw
38,Apple_Raw
39,Pomengranate_Ripe
40,Guava_Raw
41,Leeche_Raw
42,Leeche_Ripe
43,Papaya_Ripe
44,Banana_Raw
45,Apple_Ripe
46,Leeche_Raw
47,Leeche_Raw
48,Leeche_Raw
49,Papaya_Ripe
50,Apple_Raw
51,Mango_Ripe
52,Papaya_Ripe
53,Mango_Ripe
54,Apple_Ripe
55,Leeche_Raw
56,Papaya_Ripe
57,Pomengranate_Raw
58,Mango_Ripe
59,Leeche_Ripe
60,Pomengranate_Ripe
61,Orange_Ripe
62,Apple_Raw
63,Pomengranate_Raw
64,Pomengranate_Raw
65,Apple_Raw
66,Apple_Raw
67,Guava_Raw
68,Apple_Raw
69,Mango_Ripe
70,Apple_Raw
71,Strawberry_Raw
72,Mango_Ripe
73,Guava_Ripe
74,Leeche_Raw
75,Guava_Raw
76,Coconut_Ripe
77,Orange_Ripe
78,Banana_Ripe
79,Coconut_Ripe
80,Pomengranate_Raw
81,Strawberry_Ripe
82,Apple_Ripe
83,Apple_Raw
84,Papaya_Raw
85,Mango_Ripe
86,Mango_Raw
87,Papaya_Ripe
88,Leeche_Raw
89,Guava_Ripe
90,Pomengranate_Raw
91,Papaya_Ripe
92,Pomengranate_Ripe
93,Mango_Raw
94,Pomengranate_Raw
95,Apple_Raw
96,Leeche_Raw
97,Strawberry_Raw
98,Banana_Ripe
99,Pomengranate_Raw
100,Papaya_Ripe
101,Orange_Ripe
102,Pomengranate_Raw
103,Coconut_Raw
104,Guava_Ripe
105,Apple_Ripe
106,Apple_Raw
107,Papaya_Ripe
108,Apple_Ripe
109,Strawberry_Ripe
110,Coconut_Raw
111,Mango_Raw
112,Strawberry_Raw
113,Papaya_Ripe
114,Mango_Ripe
115,Apple_Ripe
116,Leeche_Raw
117,Papaya_Ripe
118,Papaya_Ripe
119,Pomengranate_Raw
120,Leeche_Raw
121,Coconut_Ripe
122,Pomengranate_Raw
123,Apple_Raw
124,Leeche_Raw
125,Orange_Ripe
126,Pomengranate_Ripe
127,Pomengranate_Ripe
128,Mango_Raw
129,Pomengranate_Ripe
130,Coconut_Ripe
131,Mango_Ripe
132,Pomengranate_Raw
133,Papaya_Raw
134,Banana_Raw
135,Banana_Raw
136,Apple_Raw
137,Papaya_Ripe
138,Guava_Ripe
139,Apple_Raw
140,Coconut_Raw
141,Mango_Raw
142,Coconut_Raw
143,Guava_Ripe
144,Strawberry_Raw
145,Mango_Raw
146,Guava_Ripe
147,Leeche_Raw
148,Coconut_Ripe
149,Mango_Raw
150,Mango_Ripe
151,Leeche_Ripe
152,Pomengranate_Ripe
153,Pomengranate_Ripe
154,Mango_Raw
155,Pomengranate_Raw
156,Leeche_Ripe
157,Orange_Ripe
158,Pomengranate_Raw
159,Guava_Ripe
160,Guava_Ripe
161,Coconut_Ripe
162,Leeche_Ripe
163,Papaya_Ripe
164,Mango_Raw
165,Mango_Ripe
166,Orange_Raw
167,Orange_Ripe
168,Papaya_Ripe
169,Orange_Raw
170,Papaya_Ripe
171,Strawberry_Raw
172,Apple_Ripe
173,Banana_Raw
174,Guava_Ripe
175,Mango_Raw
176,Pomengranate_Ripe
177,Coconut_Raw
178,Mango_Raw
179,Pomengranate_Raw
180,Strawberry_Raw
181,Coconut_Ripe
182,Papaya_Ripe
183,Strawberry_Raw
184,Leeche_Ripe
185,Guava_Ripe
186,Banana_Ripe
187,Orange_Ripe
188,Mango_Ripe
189,Guava_Ripe
190,Pomengranate_Ripe
